current,filename,current_subfolder,score_5_plex,score_6_plex,verdict
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_Summary_May2026.pdf,Allendale_Equity_Summary_May2026.pdf,_NeedsReview,0,3,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Master_Cost_Summary.xlsx,Allendale_Master_Cost_Summary.xlsx,_NeedsReview,1,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Sources_Uses.xlsx,Allendale_Sources_Uses.xlsx,_NeedsReview,0,3,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investor_Report.xlsx,Allendale_Investor_Report.xlsx,_NeedsReview,0,3,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Development_Capital_Stack.xlsx,Allendale_Development_Capital_Stack.xlsx,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 10646 61 Ave.pdf,Allendale 10646 61 Ave.pdf,_NeedsReview,0,2,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/10646 61 Ave Allendale 6 Plex - 003 (1).pdf,10646 61 Ave Allendale 6 Plex - 003 (1).pdf,_NeedsReview,0,3,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_5Plex_Updated_Hard_Costs.xlsx,Allendale_5Plex_Updated_Hard_Costs.xlsx,_NeedsReview,1,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Complete_Model.xlsx,Allendale_Complete_Model.xlsx,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_SoftCosts_Styled.xlsx,Allendale_Equity_SoftCosts_Styled.xlsx,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investment_Proposal_.docx,Allendale_Investment_Proposal_.docx,_NeedsReview,0,1,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/CCDC Allendale Evara Project 6408 106 St (1).pdf,CCDC Allendale Evara Project 6408 106 St (1).pdf,_NeedsReview,2,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_10646_61Ave_Financials.xlsx,Allendale_10646_61Ave_Financials.xlsx,_NeedsReview,0,3,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_Model_UPDATED_348k.xlsx,Allendale_Equity_Model_UPDATED_348k.xlsx,_NeedsReview,0,2,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Master_Budget_Sources_Uses.xlsx,Allendale_Master_Budget_Sources_Uses.xlsx,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_CMHC_Budget.xlsx,Allendale_CMHC_Budget.xlsx,_NeedsReview,3,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Master_Budget_Sources_Uses_UPDATED.xlsx,Allendale_Master_Budget_Sources_Uses_UPDATED.xlsx,_NeedsReview,0,0,(stay) no address evidence
