from,to,project,subfolder,status,size
/Users/sunniyaremchuk/10612 - 127 STREET NW- Rebate Agreement (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street NW/Contracts/10612 - 127 STREET NW- Rebate Agreement (2).pdf,10612 127 Street NW,Contracts,primary,364541
/Users/sunniyaremchuk/10646 61 Ave Allendale Cashflow .xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/10646 61 Ave Allendale Cashflow .xlsx,Allendale (generic),Financials,primary,8800
/Users/sunniyaremchuk/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (3).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/_NeedsReview/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (3).pdf,Verum (9121 152 St),_NeedsReview,primary,289580
/Users/sunniyaremchuk/10646 61 Ave Allendale Cashflow  (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/10646 61 Ave Allendale Cashflow  (1).xlsx,Allendale (generic),Financials,primary,9217
/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule M - Project Utility Metering (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW- Schedule M - Project Utility Metering (1).pdf,10612 127 Street NW,Contracts,duplicate,214817
/Users/sunniyaremchuk/106 Street Property - CMLS.pdf,/Users/sunniyaremchuk/RealEstate_Organized/106 Street Property/Marketing & OM/106 Street Property - CMLS.pdf,106 Street Property,Marketing & OM,primary,509780
/Users/sunniyaremchuk/10612 - 127 STREET NW- Rebate Agreement (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW- Rebate Agreement (1).pdf,10612 127 Street NW,Contracts,duplicate,364541
/Users/sunniyaremchuk/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025.pdf,Allendale (generic),_NeedsReview,primary,98490
/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule A - Plans.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW - Schedule A - Plans.pdf,10612 127 Street NW,Contracts,duplicate,1376497
/Users/sunniyaremchuk/Term Sheet 6408 106 St.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Term Sheet 6408 106 St.pdf,Allendale 5-Plex (6408 106 St),_NeedsReview,primary,1028828
/Users/sunniyaremchuk/Peakhill Commitment Letter 6408 106 St (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Peakhill Commitment Letter 6408 106 St (1).pdf,Allendale 5-Plex (6408 106 St),_NeedsReview,primary,465100
/Users/sunniyaremchuk/High Park 9-Plex Budget.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/High Park 9-Plex/Financials/High Park 9-Plex Budget.xlsx,High Park 9-Plex,Financials,primary,33528
/Users/sunniyaremchuk/9121 152 ST WDV.4.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Verum (9121 152 St)/9121 152 ST WDV.4.pdf,Verum (9121 152 St),_NeedsReview,duplicate,2004510
/Users/sunniyaremchuk/6408 106 St Allendale - 003.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/6408 106 St Allendale - 003.pdf,Allendale (generic),_NeedsReview,primary,416008
/Users/sunniyaremchuk/Jasper Place 9121 152 St  LOI - Revised - February 4 2026.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Verum (9121 152 St)/Jasper Place 9121 152 St  LOI - Revised - February 4 2026.pdf,Verum (9121 152 St),_NeedsReview,duplicate,289580
/Users/sunniyaremchuk/Jasper_Park-Overview .xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/_NeedsReview/Jasper_Park-Overview .xlsx,Jasper Park,_NeedsReview,primary,30358
/Users/sunniyaremchuk/15014 5-Unit Complex 6408 106 St Allendale DRAFT.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/15014 5-Unit Complex 6408 106 St Allendale DRAFT.pdf,Allendale (generic),_NeedsReview,primary,4811156
/Users/sunniyaremchuk/Allendale_QS_cost_log_FINAL_for_QS.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS_cost_log_FINAL_for_QS.xlsx,Allendale (generic),_NeedsReview,primary,14826
