from,to,project,subfolder,status,size
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale 10646 61 St .png,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/Allendale 10646 61 St .png,Allendale (generic),Photos,primary,2784383
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale_6Unit_ProForma.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6Unit_ProForma.xlsx,Allendale (generic),_NeedsReview,primary,5597
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Ave Allendale 6 Plex - 002.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/10646 61 Ave Allendale 6 Plex - 002.pdf,Allendale (generic),_NeedsReview,primary,372005
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Ave Allendale 6 Plex - 003.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/10646 61 Ave Allendale 6 Plex - 003 (2).pdf,Allendale (generic),_NeedsReview,duplicate,425551
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale_Equity_Summary_May2026.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_Summary_May2026.pdf,Allendale (generic),_NeedsReview,primary,4502
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Inc Purchase Contract.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale 6-Plex (10646 61 Ave)/10646 61 Inc Purchase Contract.pdf,Allendale 6-Plex (10646 61 Ave),Contracts,duplicate,3655455
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale 10646 61 Ave.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 10646 61 Ave.pdf,Allendale (generic),_NeedsReview,primary,75936
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Ave Allendale 6 Plex - 003 (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/10646 61 Ave Allendale 6 Plex - 003 (1).pdf,Allendale (generic),_NeedsReview,primary,425551
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Inc. Investment Summary.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/Financials/10646 61 Inc. Investment Summary.xlsx,Allendale 6-Plex (10646 61 Ave),Financials,primary,4527098
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale_10646_61Ave_Financials.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_10646_61Ave_Financials.xlsx,Allendale (generic),_NeedsReview,primary,9884
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Inc. Investment Summary (1) (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/Financials/10646 61 Inc. Investment Summary (1) (1).xlsx,Allendale 6-Plex (10646 61 Ave),Financials,primary,4527054
/Users/sunniyaremchuk/Downloads/2025 Tax Info /Allendale lawyer Fee IMG_6186.PNG,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/Allendale lawyer Fee IMG_6186.PNG,Allendale (generic),Photos,primary,125875
/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /Jasper_Park_Investment_Model.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/_NeedsReview/Jasper_Park_Investment_Model.xlsx,Jasper Park,_NeedsReview,primary,9742
"/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /14858, 8 Unit Complex, Sunrize Investments, 9121 152 Street, Jasper Park_Draft 2.pdf","/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/_NeedsReview/14858, 8 Unit Complex, Sunrize Investments, 9121 152 Street, Jasper Park_Draft 2.pdf",Jasper Park,_NeedsReview,primary,5817977
/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /Jasper_Park_Full_Underwriting_Model_v2.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/_NeedsReview/Jasper_Park_Full_Underwriting_Model_v2.xlsx,Jasper Park,_NeedsReview,primary,11254
/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /Jasper-Park Underwriting.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/Financials/Jasper-Park Underwriting.xlsx,Jasper Park,Financials,primary,55059
/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /Engagement Letter - 9121 - 152 Street.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/_NeedsReview/Engagement Letter - 9121 - 152 Street.pdf,Verum (9121 152 St),_NeedsReview,primary,334735
/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /Jasper Park 9121 152 St .jpeg,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Jasper Park/Jasper Park 9121 152 St .jpeg,Jasper Park,Photos,duplicate,399956
/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /Construction Agreement (9121 152)[1].pdf.docx.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/Contracts/Construction Agreement (9121 152)[1].pdf.docx.pdf,Verum (9121 152 St),Contracts,primary,197999
/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /9121 152 ST WDV.4.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/_NeedsReview/9121 152 ST WDV.4.pdf,Verum (9121 152 St),_NeedsReview,primary,2004510
/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /Jasper Place 9121 152 St  LOI - Revised - February 4 2026.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Verum (9121 152 St)/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (3).pdf,Verum (9121 152 St),_NeedsReview,duplicate,410496
/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Verum (9121 152 St)/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (1) (2).pdf,Verum (9121 152 St),_NeedsReview,duplicate,410496
/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /Jasper_Park_Project_Budget_v2.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/_NeedsReview/Jasper_Park_Project_Budget_v2.xlsx,Jasper Park,_NeedsReview,primary,24818
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale CMHC Invoice-Facture MUIN00090084-MU MLI.PDF,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/Allendale CMHC Invoice-Facture MUIN00090084-MU MLI.PDF,Allendale (generic),Financials,duplicate,260422
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/6408 106 Street Budget 5-Plex.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/Financials/6408 106 Street Budget 5-Plex (2).xlsx,Allendale 5-Plex (6408 106 St),Financials,primary,15554
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale 106 Street Property - Venture Invoice 16643.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/Allendale 106 Street Property - Venture Invoice 16643.pdf,Allendale (generic),Financials,duplicate,180306
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale Closing Lawyer Bank Draft Calculation Lawyer Payments.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Legal/Allendale Closing Lawyer Bank Draft Calculation Lawyer Payments.pdf,Allendale (generic),Legal,primary,92058
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/New 5-unit infill in Allendale.png,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/New 5-unit infill in Allendale.png,Allendale (generic),Photos,primary,2783228
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale_Master_Cost_Summary_v2.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Master_Cost_Summary_v2.xlsx,Allendale (generic),_NeedsReview,primary,18975
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale_Loan_Advance_BTY.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Loan_Advance_BTY.xlsx,Allendale (generic),_NeedsReview,primary,20235
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale 6-Plex Claim No. 1 DRAFTS R1 copy 2.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale 6-Plex Claim No. 1 DRAFTS R1 copy 2.pdf,Allendale 6-Plex (10646 61 Ave),_NeedsReview,primary,878273
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/106 Street Property - Venture Invoice 16643.pdf,/Users/sunniyaremchuk/RealEstate_Organized/106 Street Property/Financials/106 Street Property - Venture Invoice 16643.pdf,106 Street Property,Financials,primary,180306
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale Atco.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale Atco.pdf,Allendale (generic),_NeedsReview,primary,23419
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Generated image: New 5-unit infill in Allendale.png,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/Generated image: New 5-unit infill in Allendale.png,Allendale (generic),Photos,duplicate,2783228
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale 6-Plex Claim No. 1 DRAFTS R1.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale 6-Plex Claim No. 1 DRAFTS R1.pdf,Allendale 6-Plex (10646 61 Ave),_NeedsReview,primary,872138
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale_UPDATED_Model_Conservative.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_UPDATED_Model_Conservative.xlsx,Allendale (generic),_NeedsReview,primary,12768
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Term Sheet 6408 106 St.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale 5-Plex (6408 106 St)/Term Sheet 6408 106 St.pdf,Allendale 5-Plex (6408 106 St),_NeedsReview,duplicate,1028828
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Peakhill Commitment Letter 6408 106 St (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale 5-Plex (6408 106 St)/Peakhill Commitment Letter 6408 106 St (1).pdf,Allendale 5-Plex (6408 106 St),_NeedsReview,duplicate,465100
"/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/BTY Group Proposal - Sunrize Investments, Allendale Apartments, Edmonton, AB (1).pdf","/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/BTY Group Proposal - Sunrize Investments, Allendale Apartments, Edmonton, AB (1).pdf",Allendale (generic),_NeedsReview,primary,1996138
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/6408 106 St Allendale - 003.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/6408 106 St Allendale - 003.pdf,Allendale (generic),_NeedsReview,duplicate,416008
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/15014 5-Unit Complex 6408 106 St Allendale DRAFT.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/15014 5-Unit Complex 6408 106 St Allendale DRAFT.pdf,Allendale (generic),_NeedsReview,duplicate,4811156
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Emanation Investments Inc. (2024-10-10 - Quote) Allendale 6408 Insurance.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Emanation Investments Inc. (2024-10-10 - Quote) Allendale 6408 Insurance.pdf,Allendale (generic),_NeedsReview,primary,1906643
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale- Good faith Deposit COI-CMLS Deposit .pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Marketing & OM/Allendale- Good faith Deposit COI-CMLS Deposit .pdf,Allendale (generic),Marketing & OM,primary,5160684
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale_Comparison_Comps_UPDATED.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Comparison_Comps_UPDATED.xlsx,Allendale (generic),_NeedsReview,primary,8712
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale expense insurance.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale expense insurance.pdf,Allendale (generic),_NeedsReview,primary,177070
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale Invoice_13935_from_ProtechGeo__Material_Testing_Ltd FINAL.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale Invoice_13935_from_ProtechGeo__Material_Testing_Ltd FINAL.pdf,Allendale (generic),_NeedsReview,primary,31453
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale Abatement Payment .png,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/Allendale Abatement Payment .png,Allendale (generic),Photos,primary,98967
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale_QS_cost_log.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS_cost_log.xlsx,Allendale (generic),_NeedsReview,primary,15933
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale Appraisal invoice_93826.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Reports/Allendale Appraisal invoice_93826.pdf,Allendale (generic),Reports,primary,2859713
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale_Master_Cost_Summary.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Master_Cost_Summary.xlsx,Allendale (generic),_NeedsReview,primary,14463
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Allendale_Equity_Model_UPDATED_348k.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_Model_UPDATED_348k.xlsx,Allendale (generic),_NeedsReview,primary,6202
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/6408 Allendale - Front Left View.jpg,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/6408 Allendale - Front Left View.jpg,Allendale (generic),Photos,primary,283004
/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/commitmentletter6408106st 3/Peakhill Commitment Letter 6408 106 St.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale 5-Plex (6408 106 St)/Peakhill Commitment Letter 6408 106 St (3).pdf,Allendale 5-Plex (6408 106 St),_NeedsReview,duplicate,465100
"/Users/sunniyaremchuk/Downloads/Developemts/Mayfield/Mayfield Cost-To-Date (15981 110B Ave,).xlsx","/Users/sunniyaremchuk/RealEstate_Organized/Mayfield 110/_NeedsReview/Mayfield Cost-To-Date (15981 110B Ave,).xlsx",Mayfield 110,_NeedsReview,primary,6742
/Users/sunniyaremchuk/Downloads/Developemts/Mayfield/Property Tax 2025 15981-110B Avenue Edmonton.pdf,/Users/sunniyaremchuk/RealEstate_Organized/15981 110B Ave NW (9-Plex)/Financials/Property Tax 2025 15981-110B Avenue Edmonton.pdf,15981 110B Ave NW (9-Plex),Financials,primary,848013
"/Users/sunniyaremchuk/Downloads/Developemts/Mayfield/13799, Sundia Inc, 15981 110B Avenue, Mayfield 9-Unit Multi-Family Complex.pdf","/Users/sunniyaremchuk/RealEstate_Organized/Mayfield 110/_NeedsReview/13799, Sundia Inc, 15981 110B Avenue, Mayfield 9-Unit Multi-Family Complex (2).pdf",Mayfield 110,_NeedsReview,primary,6404729
/Users/sunniyaremchuk/Downloads/Developemts/Mayfield/Mayfield 110.png,/Users/sunniyaremchuk/RealEstate_Organized/Mayfield 110/Photos/Mayfield 110.png,Mayfield 110,Photos,primary,2557302
/Users/sunniyaremchuk/Downloads/commitmentletter6408106st/Peakhill Commitment Letter 6408 106 St.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale 5-Plex (6408 106 St)/Peakhill Commitment Letter 6408 106 St (4).pdf,Allendale 5-Plex (6408 106 St),_NeedsReview,duplicate,465100
/Users/sunniyaremchuk/Downloads/GSA Emanation /Allendale 61 INC. Credit Facility and Promissory Note - (CMI)May2024.pdf - signed.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 61 INC. Credit Facility and Promissory Note - (CMI)May2024.pdf - signed.pdf,Allendale (generic),_NeedsReview,primary,387286
/Users/sunniyaremchuk/Downloads/GSA Emanation /Complete_with_Docusign_Allendale_61_INC_GSA.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Complete_with_Docusign_Allendale_61_INC_GSA.pdf,Allendale (generic),_NeedsReview,primary,1193683
/Users/sunniyaremchuk/Downloads/GSA Emanation /Allendale 61 INC. GSA - signed.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 61 INC. GSA - signed.pdf,Allendale (generic),_NeedsReview,primary,302633
/Users/sunniyaremchuk/Downloads/GSA Emanation /Emanation_Secured_Note_10646_61_Ave.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Emanation_Secured_Note_10646_61_Ave.docx,Allendale 6-Plex (10646 61 Ave),_NeedsReview,primary,31730
/Users/sunniyaremchuk/Downloads/GSA Emanation /Complete_with_Docusign_Allendale_61_INC_GSA.zip,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Complete_with_Docusign_Allendale_61_INC_GSA.zip,Allendale (generic),_NeedsReview,primary,1112502
/Users/sunniyaremchuk/Downloads/GSA Emanation /Complete_with_Docusign_Affidavit_No_Assets_N (1)/a7fcf722-3aba-4270-8642-ad13438bb1f9%2FAllendale_61__Credit_Facility_Note_GSA_Share_Pledge_(Dec_5_2025).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/a7fcf722-3aba-4270-8642-ad13438bb1f9%2FAllendale_61__Credit_Facility_Note_GSA_Share_Pledge_(Dec_5_2025).pdf,Allendale (generic),_NeedsReview,primary,169347
/Users/sunniyaremchuk/Downloads/GSA Emanation /Complete_with_Docusign_Affidavit_No_Assets_N (1)/GSA 10646 61 Ave .pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/GSA 10646 61 Ave .pdf,Allendale 6-Plex (10646 61 Ave),_NeedsReview,primary,153014
/Users/sunniyaremchuk/Downloads/GSA Emanation /Complete_with_Docusign_Affidavit_No_Assets_N (1)/Allendale 61 INC. Credit Facility and Promissory Note - (CMI)May2024.pdf (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 61 INC. Credit Facility and Promissory Note - (CMI)May2024.pdf (1).pdf,Allendale (generic),_NeedsReview,primary,199760
/Users/sunniyaremchuk/Downloads/GSA Emanation /Complete_with_Docusign_Affidavit_No_Assets_N (1)/SharePledge_Allendale61.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/SharePledge_Allendale61.pdf,Allendale (generic),_NeedsReview,primary,2201
/Users/sunniyaremchuk/Downloads/GSA Emanation /Complete_with_Docusign_Affidavit_No_Assets_N (1)/reinvestmentdocumentreview/SharePledge_Allendale61.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/SharePledge_Allendale61.pdf,Allendale (generic),_NeedsReview,duplicate,2201
/Users/sunniyaremchuk/Downloads/Media Upload /files (5)/allendale5.png,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/allendale5.png,Allendale (generic),Photos,primary,344739
/Users/sunniyaremchuk/Downloads/Media Upload /files (5)/allendale6.png,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/allendale6.png,Allendale (generic),Photos,primary,343175
/Users/sunniyaremchuk/Downloads/Media Upload /files (5)/mayfield.png,/Users/sunniyaremchuk/RealEstate_Organized/Mayfield 110/Photos/mayfield.png,Mayfield 110,Photos,primary,286657
DELETED_TO_TRASH,_Duplicates folder (77 files ~50MB),Fri 29 May 2026 07:35:13 PDT
