group_id,is_keeper,file,viewUrl,size,modified,project,current_path
84,YES,GSA.pdf,https://drive.google.com/file/d/1qLTO8PE4wZywCQcznrxX0-irsBV_voGA/view?usp=drivesdk,420439,2026-03-12T05:56:40Z,,IBH Tax
84,no,GSA.pdf,https://drive.google.com/file/d/18jvh2FX1_uQo18y_vzyft25lTD0DK15P/view?usp=drivesdk,420439,2025-02-13T17:23:27.226Z,,Buyers/ Investors 
85,YES,Statements.pdf,https://drive.google.com/file/d/1S3SMsxYg_-hApBNNhSlnI2uwAyXTe3oL/view?usp=drivesdk,198071,2026-03-12T05:56:40Z,,IBH Tax
85,no,Statements.pdf,https://drive.google.com/file/d/1SCweA_prl5VyzzGlZFmd0xoiZzZ85n-5/view?usp=drivesdk,198071,2025-11-27T23:25:18Z,Verum (9121 152 St),IBH Tax/9121 152 St NW Expenses
85,no,Statements.pdf,https://drive.google.com/file/d/1UmGJCj919mdnEKCk-KUrj5IUH72dO73W/view?usp=drivesdk,198071,2025-11-06T19:27:38.312Z,,2025 Tax/2025 Flips/Wholesale /In Between Homes 
86,YES,Abatement (3).pdf,https://drive.google.com/file/d/13L-yi29C0JXByEEAXfTks41O8z8bqCv6/view?usp=drivesdk,11705,2026-03-12T05:56:40Z,,IBH Tax
86,no,Abatement (3).pdf,https://drive.google.com/file/d/1xHFCdqJxMqvc0p18QsP4aY-EHDiTeoKa/view?usp=drivesdk,11705,2026-03-05T19:48:02.351Z,,IBH Tax/Invoices Paid by Madison
87,YES,Invoice.pdf,https://drive.google.com/file/d/1WQTclT7sWMm9MYhyAUi-ASgE6PvUQVPU/view?usp=drivesdk,208368,2026-03-12T05:56:40Z,,IBH Tax
87,no,Invoice.pdf,https://drive.google.com/file/d/1zDs_POWaEUwbBHOaCqIdllptDHCs8eCf/view?usp=drivesdk,208368,2025-11-06T19:27:38.318Z,,2025 Tax/2025 Flips/Wholesale /In Between Homes 
88,YES,Abatement (2).pdf,https://drive.google.com/file/d/1BzxKvCsmk-Q1KPOPjMvWQn3Ijb6CNYKQ/view?usp=drivesdk,11670,2026-03-12T05:56:40Z,,IBH Tax
88,no,Abatement (2).pdf,https://drive.google.com/file/d/1NvjnGFY5sOSMEftHjp921dHag7GPXI5P/view?usp=drivesdk,11670,2026-03-05T19:47:55.353Z,,IBH Tax/Invoices Paid by Madison
89,YES,Tree Plan Invoice.pdf,https://drive.google.com/file/d/1COxU4Hjjog4MGeaovYX6nS4JN1wpQv-z/view?usp=drivesdk,59364,2026-03-12T05:56:40Z,,IBH Tax
89,no,Tree Plan Invoice.pdf,https://drive.google.com/file/d/1j_ZPRZDTTzOFJDojtypScbjuiY9bvrt9/view?usp=drivesdk,59364,2025-11-27T23:26:47.095Z,In-Between Homes (10848 153 St),IBH Tax/10848 153 St NW Expenses
90,YES,Spec Design Concept for Drawings (2).pdf,https://drive.google.com/file/d/1n9qMlin2B65HUPCL1Wh-dXzOmh-BDhF5/view?usp=drivesdk,3790569,2026-03-10T15:08:50Z,Jasper Park,Jasper Park/Jasper Park-Plans 
90,no,Spec Design Concept for Drawings (2).pdf,https://drive.google.com/file/d/1hP_lXKkTaUSBq3x6ujyNj_lntiJ2NL84/view?usp=drivesdk,3790569,2025-06-16T22:16:43Z,Allendale (generic),Allendale 6408 106
